id,text,label
cred_e001,老年人每日食盐摄入量不超过5克，可预防高血压,科学经验
cred_e002,老年人坚持适量运动如散步、太极拳，有助于维持身体功能,科学经验
cred_e003,老年人应定期监测血压，高血压需规范用药,科学经验
cred_e004,骨质疏松老年人补充钙和维生素D，多晒太阳,科学经验
cred_e005,老年人起床应遵循“三个半分钟”：醒后躺半分钟、坐起半分钟、腿下垂半分钟,科学经验
cred_e006,老年人每年接种流感疫苗，降低感染风险,科学经验
cred_e007,糖尿病患者应规律监测血糖，按时用药,科学经验
cred_e008,老年人便秘应增加膳食纤维和水分摄入，适度运动,科学经验
cred_e009,老年人避免久坐，每隔1小时起身活动,科学经验
cred_e010,老年人洗澡水温不宜过高，时间不宜过长,科学经验
cred_e011,老年人用药应遵医嘱，不要自行增减或停药,科学经验
cred_e012,老年人保持社交活动有助于延缓认知功能下降,科学经验
cred_e013,老年人跌倒后应先评估伤情，不要立即扶起,科学经验
cred_e014,老年人应每年进行健康体检，早期发现疾病,科学经验
cred_e015,老年人饮食应均衡，保证优质蛋白摄入,科学经验
cred_e016,老年人应保证充足睡眠，每天7-8小时,科学经验
cred_e017,老年人进行抗阻训练有助于维持肌肉力量和功能,科学经验
cred_e018,高血压患者每日自测血压并记录,科学经验
cred_e019,糖尿病患者足部护理很重要，每日检查有无破损,科学经验
cred_e020,老年人出现胸痛、胸闷应立即就医,科学经验
cred_e021,老年人饮水要少量多次，不要等到口渴再喝,科学经验
cred_e022,老年人服用多种药物时应在医生指导下管理,科学经验
cred_e023,老年人出现不明原因体重下降应及时就医,科学经验
cred_e024,老年人进行平衡训练可预防跌倒,科学经验
cred_e025,老年人应避免长时间暴露在极端高温或低温环境,科学经验
cred_e026,老年人出现记忆力明显下降应进行认知评估,科学经验
cred_e027,老年人保持积极心态有助于身心健康,科学经验
cred_e028,老年人使用拐杖或助行器可降低跌倒风险,科学经验
cred_e029,老年人应戒烟限酒，保护心脑血管,科学经验
cred_e030,老年人出现持续情绪低落应寻求心理支持,科学经验
cred_e031,老年人定期检查视力听力，及时配镜或助听器,科学经验
cred_e032,老年人髋部骨折后应尽早进行康复训练,科学经验
cred_e033,老年人应避免使用可能引起跌倒的镇静催眠药物,科学经验
cred_e034,老年人保持手指灵活运动，如做手指操,科学经验
