id,text,category,subcategory,safety_score,feasibility_score,utility_score,risk_level,tags,dialect
exp_p001,娃娃晚上哭嘛，莫急着抱，轻轻拍拍背，哼个摇篮曲就对了,育儿,睡眠问题,85,92,88,safe,"['哄睡', '0-3岁', '安抚']",川渝
exp_p002,娃儿不爱吃饭，老一辈说喂点山楂水开胃，我家试了有点用。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,88,75,caution,"['开胃', '辅食']",川渝
exp_p003,发烧了用温水擦身子，千万莫用酒精，我当年就是不懂差点出事,育儿,病护应对,95,90,92,safe,"['退烧', '护理']",川渝
exp_p004,娃儿咳嗽有痰，用梨子熬水加几颗冰糖，润肺得很。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,80,95,85,caution,"['咳嗽', '食疗']",川渝
exp_p005,教娃儿背诗要配上动作，比如“鹅鹅鹅”就学鹅伸脖子，娃儿记得快,育儿,知识启蒙,95,98,92,safe,"['早教', '古诗']",普通话+动作
exp_p006,娃儿不睡午觉，就带他出去耍一圈，累了自然就睡了,育儿,睡眠问题,90,96,88,safe,"['作息', '户外活动']",川渝
exp_p007,娃儿拉肚子，蒸苹果吃，连皮蒸，又香又止泻。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,75,90,80,caution,"['腹泻', '食疗']",川渝
exp_p008,娃儿摔跤了莫慌，先观察，能自己爬起来就没事，哄一下就好了,育儿,行为培养,85,95,90,safe,"['安全', '心理安抚']",川渝
exp_p009,娃儿吃饭坐不住，搞个定时器，响铃前吃完有奖励，比追着喂强,育儿,行为培养,90,85,92,safe,"['习惯养成', '奖励机制']",普通话
exp_p010,娃儿怕打针，提前说“像蚊子叮一下”，打完夸勇敢，下次就不哭了,育儿,病护应对,95,98,94,safe,"['心理建设', '就医']",普通话
exp_p011,娃儿磨牙，老一辈说是肚子里有虫，现在医生说是牙齿咬合问题，得看牙医,育儿,健康问题,80,70,85,caution,"['磨牙', '就医建议']",川渝
exp_p012,娃儿便秘，多吃红薯、火龙果，比开塞露好,育儿,饮食健康,90,95,92,safe,"['便秘', '膳食纤维']",普通话
exp_p013,娃儿早上赖床，放他喜欢的儿歌，笑着就醒了,育儿,行为培养,100,98,90,safe,"['起床气', '习惯']",普通话
exp_p014,娃儿抢玩具，教他说“轮流玩”，数到十换人，很管用,育儿,行为培养,95,92,94,safe,"['社交', '分享']",普通话
exp_p015,娃儿流鼻血，头要低下捏鼻子，莫仰头，血会流到喉咙,育儿,病护应对,98,96,95,safe,"['急救', '止血']",普通话
exp_p016,娃儿不爱刷牙，买水果味牙膏，大人陪着刷，比赛谁泡泡多,育儿,行为培养,95,98,92,safe,"['口腔卫生', '习惯']",普通话
exp_p017,娃儿湿疹，用金银花煮水洗澡，凉凉的止痒。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,75,90,80,caution,"['湿疹', '中药洗浴']",川渝
exp_p018,娃儿怕黑，留个小夜灯，告诉他“妈妈就在外面”，慢慢就不怕了,育儿,睡眠问题,95,98,90,safe,"['安全感', '睡眠环境']",普通话
exp_p019,娃儿被蚊虫叮了，用肥皂水洗洗，止痒快,育儿,病护应对,90,95,88,safe,"['蚊虫', '护理']",普通话
exp_p020,娃儿学走路，扶着沙发走，莫用学步车，容易O型腿,育儿,行为培养,85,80,90,caution,"['学步', '安全']",川渝
exp_p021,娃儿说话晚，多跟他摆龙门阵，看到啥说啥，慢慢就开口了,育儿,知识启蒙,95,98,92,safe,"['语言发育', '互动']",川渝
exp_p022,娃儿吐奶，喂完竖起来拍嗝，空心掌从下往上拍,育儿,饮食健康,95,98,94,safe,"['喂养', '拍嗝']",普通话
exp_p023,娃儿积食，顺时针揉肚子，少吃点，饿两顿就好了。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,90,75,caution,"['消化不良', '推拿']",川渝
exp_p024,娃儿怕理发，趁他睡着了悄悄剪，或者拿手机放动画片吸引,育儿,行为培养,85,95,88,safe,"['日常护理', '技巧']",普通话
exp_p025,娃儿不爱喝白水，放片柠檬或水果，有点味就喝了,育儿,饮食健康,95,98,90,safe,"['饮水', '习惯']",普通话
exp_p026,娃儿认生，多带出去见人，从打招呼开始，莫强迫叫人,育儿,行为培养,95,96,92,safe,"['社交', '性格']",普通话
exp_p027,娃儿发烧手脚冰凉，说明体温还要升，要保暖；手脚热了就开始降温,育儿,病护应对,90,85,88,safe,"['发热护理', '观察']",普通话
exp_p028,娃儿吃手，莫强行扯，给他玩具转移注意力，大点自然就不吃了,育儿,行为培养,95,92,88,safe,"['习惯', '口腔期']",普通话
exp_p029,娃儿断奶，先断白天再断晚上，妈妈涂点苦瓜汁在乳头。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,80,75,caution,"['断奶', '方法']",川渝
exp_p030,娃儿不肯坐安全座椅，先在屋里让他当椅子玩，习惯了再上车,育儿,行为培养,95,90,92,safe,"['安全', '习惯']",普通话
exp_p031,娃儿长牙流口水，下巴抹点凡士林，不然要红,育儿,病护应对,95,98,90,safe,"['出牙', '护理']",普通话
exp_p032,娃儿打嗝，喂几口温水或者吓一下，但吓不好，还是喂水稳当。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,80,95,85,caution,"['打嗝', '方法']",川渝
exp_p033,娃儿爱发脾气，抱起来拍拍，等他哭完再说，莫讲道理,育儿,行为培养,95,98,92,safe,"['情绪管理', '安抚']",普通话
exp_p034,娃儿看电视没完，定个闹钟，响就关，哭两次就习惯了,育儿,行为培养,95,96,92,safe,"['屏幕时间', '规则']",普通话
exp_p035,娃儿怕洗澡，盆里放几个玩具，边洗边玩，就不怕了,育儿,行为培养,95,98,90,safe,"['洗澡', '趣味']",普通话
exp_p036,娃儿红屁股，用香油涂，比护臀膏还管用。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,70,95,80,caution,"['尿布疹', '偏方']",川渝
exp_p037,娃儿出门非要抱，跟他比赛谁先跑到前面那棵树，就自己走了,育儿,行为培养,95,92,90,safe,"['外出', '游戏']",普通话
exp_p038,娃儿晚上踢被子，用睡袋，怎么翻都盖着,育儿,睡眠问题,95,98,94,safe,"['睡眠', '用品']",普通话
exp_p039,娃儿学数数，上下楼梯时数台阶，不知不觉就会了,育儿,知识启蒙,95,98,92,safe,"['数学启蒙', '生活教学']",普通话
exp_p040,娃儿不肯吃药，用滴管从嘴角挤进去，莫从舌头倒，会吐,育儿,病护应对,90,95,88,safe,"['喂药', '技巧']",普通话
exp_p041,娃儿怕打雷，抱着他说“天公公打鼓呢”，就不怕了,育儿,行为培养,95,98,90,safe,"['心理安抚', '自然现象']",普通话
exp_p042,娃儿挑食，把菜切碎混进肉丸子或饺子馅，不知不觉就吃了,育儿,饮食健康,95,98,92,safe,"['挑食', '烹饪技巧']",普通话
exp_p043,娃儿摔倒擦破皮，用生理盐水洗，碘伏消毒，莫用酒精疼得很,育儿,病护应对,95,96,92,safe,"['外伤处理', '消毒']",川渝
exp_p044,娃儿学颜色，吃水果时说“红色的苹果”“黄色的香蕉”，自然就记住了,育儿,知识启蒙,95,98,90,safe,"['认知', '生活教学']",普通话
exp_p045,娃儿不穿鞋，地板凉，铺个爬行垫，让他光脚走，刺激脚底,育儿,行为培养,90,95,85,safe,"['习惯', '感统']",普通话
exp_p046,娃儿胆小，多鼓励，做成了就夸，做不成说“下次就好了”,育儿,行为培养,95,98,94,safe,"['性格', '自信心']",普通话
exp_p047,娃儿鼻塞，用热毛巾敷鼻子，或者洗个热水澡，通气快,育儿,病护应对,90,95,88,safe,"['感冒', '护理']",普通话
exp_p048,娃儿把玩具到处扔，专门准备个箱子，告诉他“玩具回家啦”,育儿,行为培养,95,98,92,safe,"['收纳', '习惯']",普通话
exp_p049,娃儿出门不肯戴口罩，让他给毛绒玩具先戴，他就愿意了,育儿,行为培养,95,96,90,safe,"['健康防护', '模仿']",普通话
exp_p050,娃儿不肯午睡，拉窗帘放轻音乐，陪他躺着装睡，他就跟着睡了,育儿,睡眠问题,95,98,92,safe,"['午睡', '环境']",普通话
exp_p051,娃儿被别的娃欺负，教他大声说“不许打人”，然后走开找大人,育儿,行为培养,95,96,92,safe,"['社交', '自我保护']",普通话
exp_p052,娃儿爱吃糖，换成水果或葡萄干，慢慢就戒了,育儿,饮食健康,95,98,90,safe,"['零食', '替代']",普通话
exp_p053,娃儿学穿鞋，买那种一脚蹬的，先让他自己试试，错了再教,育儿,行为培养,95,98,92,safe,"['自理能力', '穿衣']",普通话
exp_p054,娃儿怕剪指甲，趁睡着了剪，又快又安全,育儿,行为培养,95,98,90,safe,"['日常护理', '技巧']",普通话
exp_p055,娃儿便秘，用开塞露莫常用，会依赖，还是饮食调理好,育儿,病护应对,85,80,90,caution,"['便秘', '用药建议']",普通话
exp_p056,娃儿学走路摔跤，大人莫大惊小怪，他自己爬起来就没事,育儿,行为培养,95,98,92,safe,"['学步', '心理']",普通话
exp_p057,娃儿夜哭，检查是不是饿了、尿了、热了，排除法,育儿,睡眠问题,95,98,94,safe,"['夜醒', '排查']",普通话
exp_p058,娃儿不爱洗澡，放几个洗澡玩具，或者用浴帽防止水进眼睛,育儿,行为培养,95,98,90,safe,"['洗澡', '趣味']",普通话
exp_p059,娃儿怕看医生，提前读绘本《医生你好》，角色扮演就不怕了,育儿,病护应对,95,96,92,safe,"['心理建设', '绘本']",普通话
exp_p060,娃儿断夜奶，睡前喂饱，晚上醒了拍哄不喂，坚持几天就断了,育儿,饮食健康,85,80,88,safe,"['断夜奶', '睡眠']",普通话
exp_p061,娃儿把饭弄得到处都是，莫骂他，是在探索，大点就好了,育儿,行为培养,95,98,90,safe,"['吃饭', '自主进食']",普通话
exp_p062,娃儿不爱洗手，用泡泡洗手液，挤出来是卡通形状，就愿意洗了,育儿,行为培养,95,98,92,safe,"['卫生习惯', '趣味']",普通话
exp_p063,娃儿怕水，先在盆里放一点点水，放玩具，慢慢加深,育儿,行为培养,95,96,90,safe,"['游泳', '心理']",普通话
exp_p064,娃儿打人，抓住他的手说“轻轻摸”，示范给他看,育儿,行为培养,95,98,92,safe,"['攻击行为', '引导']",普通话
exp_p065,娃儿不爱吃蔬菜，打成汁和面，做成彩色面条、饺子,育儿,饮食健康,95,98,92,safe,"['挑食', '创意烹饪']",普通话
exp_p066,娃儿哭闹要东西，转移注意力，看窗外小鸟、玩别的玩具,育儿,行为培养,95,98,90,safe,"['情绪', '转移']",普通话
exp_p067,娃儿学分享，拿他喜欢的零食让他分给小朋友，体验被夸的快乐,育儿,行为培养,95,96,92,safe,"['社交', '分享']",普通话
exp_p068,娃儿乱涂乱画，给张大白纸或小黑板，指定区域画,育儿,行为培养,95,98,90,safe,"['绘画', '规则']",普通话
exp_p069,娃儿怕失败，拼图拼不好就哭，大人陪着拼，说“我们一起来”,育儿,行为培养,95,98,92,safe,"['抗挫力', '陪伴']",普通话
exp_p070,娃儿咬指甲，涂点苦瓜汁，多陪他玩，分散注意力。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,行为培养,80,85,75,caution,"['不良习惯', '干预']",川渝
exp_p071,娃儿睡觉总往一边偏，经常换方向睡，防止扁头,育儿,睡眠问题,95,98,90,safe,"['头型', '护理']",普通话
exp_p072,娃儿学用筷子，买练习筷，先从夹大块食物开始,育儿,行为培养,95,96,88,safe,"['精细动作', '餐具']",普通话
exp_p073,娃儿被猫狗吓到，抱起来安抚，告诉他“狗狗喜欢你才闻你”,育儿,行为培养,95,98,90,safe,"['动物接触', '心理']",普通话
exp_p074,娃儿不爱喝水，跟他干杯，比赛谁喝得快,育儿,饮食健康,95,98,90,safe,"['饮水', '游戏']",普通话
exp_p075,娃儿换牙，让他自己摇，掉了放枕头下，说牙仙子会来换礼物,育儿,健康问题,95,96,92,safe,"['换牙', '心理']",普通话
exp_p076,娃儿怕黑，在墙上贴夜光星星，告诉他“星星陪你睡”,育儿,睡眠问题,95,98,90,safe,"['睡眠环境', '心理']",普通话
exp_p077,娃儿不爱看书，把书放在他常玩的地方，随手能拿到，慢慢就翻了,育儿,知识启蒙,95,98,92,safe,"['阅读习惯', '环境']",普通话
exp_p078,娃儿发烧，手脚热了就少穿点，帮散热；手脚凉就保暖，别捂汗,育儿,病护应对,90,85,88,safe,"['发热护理', '温度']",普通话
exp_p079,娃儿流口水，勤换围嘴，下巴保持干燥，擦点润肤霜,育儿,病护应对,95,98,90,safe,"['出牙', '护理']",普通话
exp_p080,娃儿学说话，大人说短句，慢一点，多重复,育儿,知识启蒙,95,98,92,safe,"['语言发育', '方法']",普通话
exp_p081,娃儿爱吃手指，给他磨牙棒或安抚奶嘴，转移注意力,育儿,行为培养,90,95,85,safe,"['口腔期', '替代']",普通话
exp_p082,娃儿尿床，莫批评，睡前少喝水，半夜叫醒一次,育儿,行为培养,95,96,92,safe,"['如厕训练', '习惯']",普通话
exp_p083,娃儿被蚊子咬了个大包，冷敷一下，涂点炉甘石洗剂,育儿,病护应对,95,98,90,safe,"['蚊虫叮咬', '止痒']",普通话
exp_p084,娃儿不爱吃早餐，换个花样，做成小动物形状，就愿意吃了,育儿,饮食健康,95,98,92,safe,"['早餐', '创意']",普通话
exp_p085,娃儿发脾气扔东西，平静地捡起来放回原处，不批评，让他知道扔了还要捡,育儿,行为培养,95,98,92,safe,"['情绪', '后果']",普通话
exp_p086,娃儿怕理发，去专门儿童理发店，有玩具车座椅，边看动画边剪,育儿,行为培养,95,90,88,safe,"['理发', '环境']",普通话
exp_p087,娃儿不爱收拾玩具，唱收拾歌，边唱边收，变成游戏,育儿,行为培养,95,98,92,safe,"['收纳', '游戏']",普通话
exp_p088,娃儿学骑车，先让他骑平衡车，掌握平衡再换自行车,育儿,行为培养,95,96,90,safe,"['运动', '过渡']",普通话
exp_p089,娃儿怕生人，不强迫叫人，大人先打招呼示范，慢慢就跟着学了,育儿,行为培养,95,98,92,safe,"['社交', '示范']",普通话
exp_p090,娃儿不爱刷牙，用刷牙APP，有小动物刷牙动画，跟着学,育儿,行为培养,95,98,92,safe,"['口腔卫生', '科技']",普通话
exp_p091,娃儿闹觉，提前半小时做安静活动，读绘本、听轻音乐,育儿,睡眠问题,95,98,92,safe,"['入睡困难', '仪式']",普通话
exp_p092,娃儿吃鱼怕刺，选刺少的鱼，或者把鱼肉用勺子压碎,育儿,饮食健康,95,98,90,safe,"['安全', '喂养']",普通话
exp_p093,娃儿学穿裤子，让他坐在床上穿，不容易摔倒,育儿,行为培养,95,98,90,safe,"['自理', '技巧']",普通话
exp_p094,娃儿怕水进眼睛，戴洗头帽，闭眼仰头冲,育儿,行为培养,95,98,90,safe,"['洗澡', '护眼']",普通话
exp_p095,娃儿不爱吃胡萝卜，和肉一起剁碎做肉丸，吃不出来,育儿,饮食健康,95,98,92,safe,"['挑食', '隐藏蔬菜']",普通话
exp_p096,娃儿哭的时候，抱起来轻轻摇晃，哼歌，不要讲道理,育儿,行为培养,95,98,92,safe,"['情绪安抚', '方法']",普通话
exp_p097,娃儿被烫伤，立刻用凉水冲15分钟，莫涂牙膏酱油,育儿,病护应对,98,96,95,safe,"['急救', '烫伤']",普通话
exp_p098,娃儿学数数，吃饼干时数“一块、两块”，边吃边学,育儿,知识启蒙,95,98,92,safe,"['数学', '生活']",普通话
exp_p099,娃儿不爱穿鞋，在家穿防滑袜，出门前说“穿鞋才能出去玩”,育儿,行为培养,95,98,90,safe,"['习惯', '规则']",普通话
exp_p100,娃儿发脾气在地上打滚，大人走开，不理他，没观众就起来了,育儿,行为培养,90,95,88,safe,"['情绪', '冷处理']",普通话
exp_p101,2岁以下不建议自行使用止咳镇静类复方感冒药；必要用药应遵医嘱,育儿,病护应对,99,89,89,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",川渝
exp_p102,语言发展训练以高频互动为主：看见什么就描述什么、等孩子回应，再扩展一句话，效果比单纯背词更好,育儿,行为培养,91,94,93,safe,"['发育', '互动', '习惯', '24月']",普通话
exp_p103,接种当天注意观察精神和进食，避免剧烈运动；若有既往严重过敏史需提前告知接种医生,育儿,疫苗保健,97,88,97,safe,"['疫苗', '观察', '不良反应', '就医']",普通话
