id,text,intent_type,urgency,help_type,user_role,expected_match
need_e001,血压高，早上起来头晕得很，是不是药量不够？,健康咨询,中,用药建议,老人,心血管/高血压
need_e002,糖尿病，能不能吃红苕？有人说升血糖快,健康咨询,中,饮食指导,老人,糖尿病
need_e003,膝盖痛，上下楼梯恼火得很，有啥子锻炼方法不伤膝盖？,健康咨询,中,康复建议,老人,骨关节
need_e004,晚上睡不着，白天又没精神，咋个调理？,健康咨询,中,非药物方法,老人,睡眠
need_e005,便秘好几天了，肚子胀，吃啥子能通便？,健康咨询,中,饮食建议,老人,消化
need_e006,记性越来越差，刚刚放的东西就找不到，是不是老年痴呆了？,健康咨询,中,评估建议,老人,认知/记忆
need_e007,眼睛看东西雾蒙蒙的，是不是白内障？,健康咨询,中,就医建议,老人,感官
need_e008,腰杆痛了半个月，贴膏药也不管用，要不要去拍个片？,健康咨询,中,就医判断,老人,疼痛
need_e009,降压药吃了好几年，听说有副作用，能不能换成中药？,用药咨询,中,用药安全,老人,用药安全
need_e010,骨质疏松，光喝骨头汤有用吗？要不要吃钙片？,健康咨询,低,营养建议,老人,营养
need_e011,心情不好，总想哭，是不是抑郁了？,心理支持,中,情感疏导,老人,心理健康
need_e012,走路腿没劲，走一会就要歇，是咋回事？,健康咨询,中,症状分析,老人,其他常见症状
need_e013,血糖忽高忽低，饮食已经很注意了，咋个稳定？,健康咨询,高,用药/监测,老人,糖尿病
need_e014,肩膀痛得抬不起来，是不是肩周炎？,健康咨询,中,诊断建议,老人,骨关节
need_e015,晚上起夜五六次，睡不好，是前列腺问题还是肾不好？,健康咨询,中,就医建议,老人,其他常见症状
need_e016,手抖得厉害，拿不稳筷子，是不是帕金森？,健康咨询,高,就医判断,老人,认知/记忆
need_e017,耳朵嗡嗡响，晚上更明显，是啥子原因？,健康咨询,低,症状分析,老人,感官
need_e018,胃胀气，打嗝，吃啥药好？,健康咨询,中,用药建议,老人,消化
need_e019,头晕，一站起来就眼前发黑，是不是贫血？,健康咨询,中,就医建议,老人,心血管/高血压
need_e020,失眠，吃安眠药怕上瘾，有啥子偏方？,健康咨询,中,非药物方法,老人,睡眠
need_e021,脚后跟痛，早上起来第一步最痛，是啥子病？,健康咨询,中,诊断建议,老人,疼痛
need_e022,糖尿病脚发麻，是不是并发症？,健康咨询,高,紧急判断,老人,糖尿病
need_e023,脑梗后走路不稳，咋个康复训练？,健康咨询,中,康复指导,老人,认知/记忆
need_e024,血压高，能不能吃咸菜？,健康咨询,低,饮食指导,老人,心血管/高血压
need_e025,膝盖肿，能不能热敷？,健康咨询,中,护理建议,老人,骨关节
need_e026,便秘用开塞露有依赖，有啥子替代办法？,健康咨询,中,方法建议,老人,消化
need_e027,记性不好，煮饭忘关火，有啥子提醒办法？,生活求助,高,安全建议,老人,认知/记忆
need_e028,眼睛干涩，用啥眼药水好？,健康咨询,低,用药建议,老人,感官
need_e029,腰腿痛，按摩有用吗？怕按坏了,健康咨询,中,康复建议,老人,疼痛
need_e030,降压药漏吃了一天，要不要补吃？,用药咨询,高,紧急指导,老人,用药安全
need_e031,骨质疏松，打太极拳会不会骨折？,健康咨询,中,运动指导,老人,营养
need_e032,心情烦躁，看啥都不顺眼，是不是更年期？都七十了还更年期吗？,心理支持,低,情感疏导,老人,心理健康
need_e033,腿抽筋，特别是晚上，是不是缺钙？,健康咨询,低,营养建议,老人,营养
need_e034,糖尿病，能不能吃水果？哪些水果可以吃？,健康咨询,中,饮食指导,老人,糖尿病
need_e035,肩膀痛，甩手能好吗？,健康咨询,低,康复建议,老人,骨关节
need_e036,晚上睡觉出汗，枕头都湿了，是啥子原因？,健康咨询,中,症状分析,老人,其他常见症状
need_e037,耳朵听不清，要不要配助听器？,健康咨询,中,就医建议,老人,感官
need_e038,胃痛，吃了饭就痛，是啥子问题？,健康咨询,中,就医判断,老人,消化
need_e039,头晕，量血压正常，是不是颈椎病？,健康咨询,中,诊断建议,老人,心血管/高血压
need_e040,失眠，白天晒太阳有用吗？,健康咨询,低,非药物方法,老人,睡眠
need_e041,脚肿，一按一个坑，是不是心脏问题？,健康咨询,高,紧急判断,老人,心血管/高血压
need_e042,糖尿病，脚上有个伤口老不好，咋个办？,健康咨询,高,紧急处理,老人,糖尿病
need_e043,腰弯不下去，洗脚都困难，咋个锻炼？,健康咨询,中,康复指导,老人,骨关节
need_e044,记忆力差，要不要吃银杏叶片？,用药咨询,低,用药建议,老人,认知/记忆
need_e045,眼睛模糊，是不是白内障手术的时机到了？,健康咨询,中,就医建议,老人,感官
need_e046,腿抽筋，吃钙片没用，是啥原因？,健康咨询,中,症状分析,老人,营养
need_e047,高血压，能不能喝酒？,健康咨询,中,禁忌,老人,心血管/高血压
need_e048,睡觉打鼾，声音大，是不是病？,健康咨询,低,就医建议,老人,睡眠
need_e049,便秘，吃香蕉有用吗？,健康咨询,低,饮食建议,老人,消化
need_e050,手麻，特别是晚上睡觉时，是啥子问题？,健康咨询,中,诊断建议,老人,疼痛
need_e051,血糖高，能不能吃南瓜？,健康咨询,低,饮食指导,老人,糖尿病
need_e052,膝盖痛，打玻璃酸钠有用吗？,健康咨询,中,治疗建议,老人,骨关节
need_e053,头晕，恶心，是不是梅尼埃病？,健康咨询,中,就医建议,老人,其他常见症状
need_e054,晚上睡不着，想事情，咋个不想？,健康咨询,低,心理技巧,老人,睡眠
need_e055,降压药和降糖药能不能一起吃？,用药咨询,中,用药安全,老人,用药安全
need_e056,骨质疏松，摔了一跤，要不要去医院？,健康咨询,高,紧急判断,老人,营养
need_e057,心情不好，吃不下饭，咋个调节？,心理支持,中,情感疏导,老人,心理健康
need_e058,脑梗后说话不利索，咋个康复？,健康咨询,中,康复指导,老人,认知/记忆
need_e059,眼睛痒，流泪，是不是结膜炎？,健康咨询,低,用药建议,老人,感官
need_e060,腰杆痛，睡硬板床还是软床？,健康咨询,中,护理建议,老人,疼痛
need_e061,糖尿病，打胰岛素会不会上瘾？,健康咨询,中,用药教育,老人,糖尿病
need_e062,膝盖响，但不痛，需要治吗？,健康咨询,低,就医判断,老人,骨关节
need_e063,晚上起夜多，是不是肾虚？,健康咨询,中,诊断建议,老人,其他常见症状
need_e064,头晕，量血压高，是不是马上吃药？,用药咨询,高,紧急指导,老人,心血管/高血压
need_e065,便秘，揉肚子顺时针还是逆时针？,健康咨询,低,方法指导,老人,消化
need_e066,记性不好，吃核桃有用吗？,健康咨询,低,营养建议,老人,认知/记忆
need_e067,耳朵里痒，是不是有炎症？,健康咨询,低,就医建议,老人,感官
need_e068,腿抽筋，睡觉时盖厚被子有用吗？,健康咨询,低,护理建议,老人,营养
need_e069,高血压，能不能吃鸡蛋？,健康咨询,低,饮食指导,老人,心血管/高血压
need_e070,睡眠浅，有点声音就醒，咋个改善？,健康咨询,中,非药物方法,老人,睡眠
need_e071,胃酸反流，烧心，吃啥药好？,健康咨询,中,用药建议,老人,消化
need_e072,手抖，端碗都抖，是不是甲亢？,健康咨询,中,诊断建议,老人,疼痛
need_e073,糖尿病，能不能吃稀饭？,健康咨询,中,饮食指导,老人,糖尿病
need_e074,膝盖痛，贴风湿膏有用吗？,健康咨询,低,用药建议,老人,骨关节
need_e075,脑梗后遗症，手脚麻木，咋个缓解？,健康咨询,中,康复指导,老人,认知/记忆
need_e076,眼睛有飞蚊症，要不要紧？,健康咨询,中,就医判断,老人,感官
need_e077,腰杆痛，针灸有效果吗？,健康咨询,中,治疗建议,老人,疼痛
need_e078,便秘，喝酸奶有用吗？,健康咨询,低,饮食建议,老人,消化
need_e079,血压高，能不能吃人参？,用药咨询,中,禁忌,老人,心血管/高血压
need_e080,晚上睡不好，白天没精神，要不要吃褪黑素？,健康咨询,中,用药建议,老人,睡眠
need_e081,骨质疏松，晒太阳要晒多久？,健康咨询,低,生活指导,老人,营养
need_e082,脚趾甲长到肉里，痛得很，咋个处理？,健康咨询,中,护理建议,老人,其他常见症状
need_e083,糖尿病，能不能喝粥？,健康咨询,中,饮食指导,老人,糖尿病
need_e084,肩膀痛，晚上痛得睡不着，咋个办？,健康咨询,高,缓解方法,老人,骨关节
need_e085,头晕，做CT还是核磁？,健康咨询,中,检查建议,老人,其他常见症状
need_e086,失眠，泡脚有用吗？,健康咨询,低,非药物方法,老人,睡眠
need_e087,胃痛，喝热水能缓解吗？,健康咨询,低,护理建议,老人,消化
need_e088,高血压药饭前吃还是饭后吃？,用药咨询,中,用药指导,老人,心血管/高血压
need_e089,腿肿，少喝水有用吗？,健康咨询,中,护理建议,老人,心血管/高血压
need_e090,糖尿病，能不能吃月饼？,健康咨询,中,饮食指导,老人,糖尿病
need_e091,膝盖痛，走平路不痛，上下楼痛，是啥子问题？,健康咨询,中,诊断建议,老人,骨关节
need_e092,记忆力差，出门忘带钥匙，咋个避免？,健康咨询,中,生活技巧,老人,认知/记忆
need_e093,耳鸣，吃六味地黄丸有用吗？,用药咨询,低,用药建议,老人,感官
need_e094,腰痛，能不能做仰卧起坐？,健康咨询,中,运动指导,老人,疼痛
need_e095,便秘，早上空腹喝蜂蜜水好吗？,健康咨询,低,饮食建议,老人,消化
need_e096,血压高，能不能吃肥肉？,健康咨询,低,饮食指导,老人,心血管/高血压
need_e097,晚上睡不好，白天打瞌睡，咋个调整？,健康咨询,中,作息调整,老人,睡眠
need_e098,糖尿病，能不能吃红薯？,健康咨询,中,饮食指导,老人,糖尿病
need_e099,膝盖响，还有响声，但不痛，需要治吗？,健康咨询,低,就医判断,老人,骨关节
need_e100,心情不好，想哭，是不是抑郁症？,心理支持,中,评估建议,老人,心理健康
need_e101,膝盖痛上下楼困难，有哪些不伤膝的锻炼,健康咨询,高,康复指导,老人,骨关节
need_e102,便秘好几天了，吃啥更安全有效（川渝口吻）,健康咨询,高,康复指导,老人,消化
need_e103,起夜多导致睡不好，应该看哪个科（川渝口吻）,健康咨询,中,就医判断,老人,感官
need_e104,晚上失眠，白天没精神，有哪些非药物办法（川渝口吻）,健康咨询,中,就医判断,老人,睡眠
