id,text,label
cred_p001,婴儿应在出生后一小时内开始母乳喂养，纯母乳喂养至6个月,科学经验
cred_p002,婴儿应仰卧睡眠，可降低婴儿猝死综合征风险,科学经验
cred_p003,宝宝发烧时用温水擦拭身体物理降温，不要用酒精,科学经验
cred_p004,孕前和孕早期补充叶酸可预防胎儿神经管畸形,科学经验
cred_p005,婴儿满6个月后开始添加辅食，首选含铁米粉,科学经验
cred_p006,宝宝咳嗽时保持室内空气湿润，多喝水有助于缓解,科学经验
cred_p007,新生儿出生后补充维生素D，每日400国际单位,科学经验
cred_p008,宝宝湿疹要保持皮肤湿润，使用无香料保湿霜,科学经验
cred_p009,婴儿乘车必须使用安全座椅，不能抱着,科学经验
cred_p010,母乳喂养的婴儿不需额外喂水，母乳已含足够水分,科学经验
cred_p011,宝宝腹泻时要预防脱水，可口服补液盐,科学经验
cred_p012,婴幼儿每天户外活动至少1小时，促进视力发育,科学经验
cred_p013,宝宝出牙期间可用牙胶或冷毛巾按摩牙龈缓解不适,科学经验
cred_p014,婴儿添加辅食应逐一添加，观察3-5天有无过敏反应,科学经验
cred_p015,宝宝被蚊虫叮咬后用肥皂水清洗，冷敷止痒,科学经验
cred_p016,婴幼儿避免长时间屏幕暴露，2岁以下不建议看屏幕,科学经验
cred_p017,宝宝烫伤后立即用流动凉水冲洗15-20分钟,科学经验
cred_p018,孕妇应避免饮酒，酒精可能导致胎儿酒精综合征,科学经验
cred_p019,婴儿鼻腔堵塞可用生理盐水滴鼻后轻轻吸出,科学经验
cred_p020,宝宝发热时不要捂汗，应减少衣物帮助散热,科学经验
cred_p021,婴幼儿定期接种疫苗是预防传染病最有效的方式,科学经验
cred_p022,宝宝摔伤后先观察有无意识改变、呕吐等脑震荡迹象,科学经验
cred_p023,婴儿枕头不需要使用，1岁前床上不要放枕头和毛绒玩具,科学经验
cred_p024,孕妇应避免吸烟和二手烟，影响胎儿发育,科学经验
cred_p025,宝宝有过敏史添加辅食时避开已知过敏原,科学经验
cred_p026,婴儿黄疸需在医生指导下监测，严重时需光疗,科学经验
cred_p027,宝宝红屁股勤换尿布，保持干燥，涂抹护臀霜,科学经验
cred_p028,婴幼儿刷牙从第一颗牙萌出开始，使用含氟牙膏,科学经验
cred_p029,宝宝流鼻血时身体前倾捏住鼻翼，不要仰头,科学经验
cred_p030,孕妇应避免生食和未经巴氏消毒的奶制品,科学经验
cred_p031,婴儿洗澡水温控制在37-38℃，先放冷水再加热水,科学经验
cred_p032,宝宝轻微磕碰后局部冷敷可减轻肿胀,科学经验
cred_p033,婴幼儿睡眠环境温度适宜，避免过热,科学经验
cred_p034,宝宝被宠物抓伤后立即用肥皂水冲洗，及时就医接种疫苗,科学经验
cred_p035,孕妇孕期应保持适度运动，如散步、孕妇瑜伽,科学经验
cred_p036,说法：听说姜汤能发汗退烧（证据不足，仅供参考）,待验证经验
cred_p037,说法：老人说喝点山楂水能开胃（证据不足，仅供参考）,待验证经验
cred_p038,说法：听说用金银花煮水洗澡能治湿疹（证据不足，仅供参考）,待验证经验
cred_p039,说法：老一辈说吃鱼肝油能补钙（证据不足，仅供参考）,待验证经验
cred_p040,说法：听说用苦瓜汁涂手指能戒掉吃手（证据不足，仅供参考）,待验证经验
cred_p041,说法：老话说“若要小儿安，三分饥与寒”（证据不足，仅供参考）,待验证经验
cred_p042,说法：听说用艾草水洗澡能驱蚊防痱（证据不足，仅供参考）,待验证经验
cred_p043,说法：老一辈说喝点蜂蜜水能缓解咳嗽（证据不足，仅供参考）,待验证经验
cred_p044,说法：听说用淘米水洗脸能让宝宝皮肤白（证据不足，仅供参考）,待验证经验
cred_p045,说法：老人说穿旧衣服的宝宝好带（证据不足，仅供参考）,待验证经验
cred_p046,说法：听说用蛋清敷脸能去痱子（证据不足，仅供参考）,待验证经验
cred_p047,说法：老一辈说用葱白水能通鼻塞（证据不足，仅供参考）,待验证经验
cred_p048,说法：听说喝点萝卜水能化痰（证据不足，仅供参考）,待验证经验
cred_p049,说法：老人说用银器煮水能“去风”（证据不足，仅供参考）,待验证经验
cred_p050,说法：听说穿红色衣服能避邪保平安（证据不足，仅供参考）,待验证经验
cred_p051,说法：老一辈说不能照镜子，会吓到宝宝（证据不足，仅供参考）,待验证经验
cred_p052,说法：听说用茶叶水洗眼睛能明目（证据不足，仅供参考）,待验证经验
cred_p053,说法：老人说用米汤冲奶粉更营养（证据不足，仅供参考）,待验证经验
cred_p054,说法：听说把宝宝举高高能练胆子（证据不足，仅供参考）,待验证经验
cred_p055,说法：老一辈说用艾叶熏屋子能驱蚊（证据不足，仅供参考）,待验证经验
cred_p056,说法：听说用苦瓜水擦痱子效果好（证据不足，仅供参考）,待验证经验
cred_p057,说法：老人说宝宝不能见生人，会吓着（证据不足，仅供参考）,待验证经验
cred_p058,说法：听说用生姜擦头皮能长头发（证据不足，仅供参考）,待验证经验
cred_p059,说法：老一辈说不能给宝宝剪指甲，要用咬的（证据不足，仅供参考）,待验证经验
cred_p060,说法：听说用白酒擦身能降温（证据不足，仅供参考）,待验证经验
cred_p061,说法：老人说不能夸宝宝，会“反着来”（证据不足，仅供参考）,待验证经验
cred_p062,说法：听说用花椒水泡脚能治感冒（证据不足，仅供参考）,待验证经验
cred_p063,说法：老一辈说用红布包床头能压惊（证据不足，仅供参考）,待验证经验
cred_p064,说法：听说用醋熏能消毒房间（证据不足，仅供参考）,待验证经验
cred_p065,说法：老人说宝宝不能照镜子会变哑巴（证据不足，仅供参考）,待验证经验
cred_p066,误区：宝宝发烧可以用酒精擦身体（危险，不推荐）,风险经验
cred_p067,误区：新生儿喂黄连水可以去胎毒（危险，不推荐）,风险经验
cred_p068,误区：一岁以下宝宝咳嗽可以喂蜂蜜止咳（危险，不推荐）,风险经验
cred_p069,误区：宝宝发烧要捂汗，出汗就退烧了（危险，不推荐）,风险经验
cred_p070,误区：用学步车能让宝宝早点学会走路（危险，不推荐）,风险经验
cred_p071,误区：给宝宝绑腿可以让腿更直（危险，不推荐）,风险经验
cred_p072,误区：新生儿剃满月头能让头发长得更好（危险，不推荐）,风险经验
cred_p073,误区：宝宝感冒了用抗生素好得快（危险，不推荐）,风险经验
cred_p074,误区：用母乳给宝宝洗脸能美白（危险，不推荐）,风险经验
cred_p075,误区：宝宝腹泻要马上止泻，吃止泻药（危险，不推荐）,风险经验
cred_p076,误区：给宝宝捏鼻梁能让鼻子变挺（危险，不推荐）,风险经验
cred_p077,误区：新生儿可以喂水，母乳不够水来凑（危险，不推荐）,风险经验
