id,text,category,subcategory,safety_score,feasibility_score,utility_score,risk_level,tags
exp_001,老年人每日食盐摄入量不超过5克，预防高血压,老人养生,饮食健康,95,90,92,safe,"['低盐', '高血压', '控盐']"
exp_002,老年人每日饮水1500-1700ml，少量多次饮用,老人养生,日常护理,95,92,90,safe,"['饮水', '补水', '防脱水']"
exp_003,老年人每日烹调油摄入量控制在25-30克,老人养生,饮食健康,90,90,88,safe,"['控油', '脂肪', '心血管']"
exp_004,老年人建议每天摄入全谷物、杂豆占主食1/3以上,老人养生,饮食健康,90,88,89,safe,"['全谷物', '杂粮', '血糖']"
exp_005,老年人每日应摄入300-500克蔬菜，深色蔬菜占一半,老人养生,饮食健康,95,92,90,safe,"['蔬菜', '膳食纤维', '维生素']"
exp_006,老年人每日应摄入200-350克水果，优选低糖分品种,老人养生,饮食健康,90,90,88,safe,"['水果', '低糖', '维生素']"
exp_007,老年人建议每天摄入优质蛋白质，如鱼、蛋、瘦肉、豆制品,老人养生,营养补充,95,92,93,safe,"['蛋白质', '肌肉', '免疫力']"
exp_008,老年人每日钙摄入量建议1000-1200mg，预防骨质疏松,老人养生,营养补充,95,90,94,safe,"['补钙', '骨质疏松', '骨骼']"
exp_009,老年人应多晒太阳，每日15-20分钟，促进维生素D合成,老人养生,日常养生,90,95,90,safe,"['晒太阳', '维生素D', '钙吸收']"
exp_010,老年人建议每周至少150分钟中等强度有氧运动,老人养生,运动养生,90,85,92,safe,"['运动', '有氧', '心肺']"
exp_011,老年人运动以微微出汗、心率不超过170-年龄为宜,老人养生,运动养生,90,90,89,safe,"['运动强度', '心率', '安全运动']"
exp_012,老年人每周应做2-3次力量训练，延缓肌肉流失,老人养生,运动养生,85,85,90,safe,"['力量训练', '肌肉衰减', '肌力']"
exp_013,老年人宜选择散步、太极拳、八段锦等温和运动,老人养生,运动养生,95,95,93,safe,"['温和运动', '太极', '防跌倒']"
exp_014,老年人每日睡眠时间建议7-8小时，午睡不超1小时,老人养生,睡眠养生,90,92,88,safe,"['睡眠', '作息', '午睡']"
exp_015,老年人睡前1小时不看手机、电视，提高睡眠质量,老人养生,睡眠养生,90,90,87,safe,"['睡前习惯', '少屏幕', '助眠']"
exp_016,老年人起床应遵循“三个半分钟”，防体位性低血压,老人养生,安全防护,98,95,96,safe,"['起床', '防跌倒', '低血压']"
exp_017,老年人居家应清除地面杂物，安装扶手，降低跌倒风险,老人养生,居家安全,100,92,98,safe,"['防跌倒', '居家改造', '安全']"
exp_018,老年人穿防滑鞋，裤脚不宜过长，避免绊倒,老人养生,日常安全,95,95,94,safe,"['防滑鞋', '防跌倒', '着装']"
exp_019,老年人应定期监测血压，高血压者每日至少测1-2次,老人养生,慢病管理,95,95,96,safe,"['血压监测', '高血压', '慢病']"
exp_020,老年人降压目标一般低于140/90mmHg，遵医嘱调整,老人养生,慢病管理,95,90,95,safe,"['血压控制', '降压', '慢病']"
exp_021,老年人应定期监测血糖，糖尿病患者规律监测,老人养生,慢病管理,95,92,94,safe,"['血糖', '糖尿病', '监测']"
exp_022,老年人饮食应少食多餐，避免暴饮暴食，减轻肠胃负担,老人养生,消化健康,90,95,90,safe,"['少食多餐', '肠胃', '消化']"
exp_023,老年人应少吃高糖、高油、高盐加工食品,老人养生,饮食禁忌,95,90,92,safe,"['加工食品', '三高', '健康']"
exp_024,老年人应戒烟限酒，降低心脑血管疾病风险,老人养生,生活习惯,98,85,97,safe,"['戒烟限酒', '心脑血管', '健康']"
exp_025,老年人每日膳食纤维摄入量建议25-30克，预防便秘,老人养生,消化健康,90,88,89,safe,"['膳食纤维', '便秘', '肠道']"
exp_026,老年人便秘优先调整饮食与运动，不依赖泻药,老人养生,消化健康,85,90,86,safe,"['便秘', '调理', '泻药慎用']"
exp_027,老年人应保持口腔清洁，每日刷牙2次，定期洁牙,老人养生,口腔健康,90,92,88,safe,"['口腔护理', '刷牙', '牙周病']"
exp_028,老年人应每年至少1次全面体检，早发现慢病,老人养生,健康管理,95,90,96,safe,"['体检', '慢病筛查', '预防']"
exp_029,老年人应定期检查视力、听力，及时矫正干预,老人养生,感官健康,90,90,89,safe,"['视力', '听力', '感官衰退']"
exp_030,老年人用药必须遵医嘱，不自行增减或停药,老人养生,用药安全,100,95,98,high_risk_avoid,"['用药安全', '遵医嘱', '慢病药']"
exp_031,老年人避免多种药物叠加使用，注意药物相互作用,老人养生,用药安全,98,90,95,caution,"['多重用药', '药物相互作用', '安全']"
exp_032,老年人不盲目服用保健品，不替代正规药物,老人养生,营养补充,95,95,94,safe,"['保健品', '不迷信', '用药']"
exp_033,老年人应保持社交活动，降低抑郁与认知衰退风险,老人养生,心理健康,90,92,90,safe,"['社交', '心理健康', '防痴呆']"
exp_034,老年人多进行读书、下棋、手工等活动，锻炼大脑,老人养生,认知健康,90,95,89,safe,"['脑力锻炼', '认知', '防痴呆']"
exp_035,老年人冬季注意保暖，重点护头、颈、足，防心脑血管事件,老人养生,季节养生,95,95,94,safe,"['冬季保暖', '心脑血管', '防寒']"
exp_036,老年人夏季避免高温外出，预防中暑与脱水,老人养生,季节养生,95,95,93,safe,"['夏季养生', '防暑', '降温']"
exp_037,老年人洗澡水温控制在40℃左右，时间不超过20分钟,老人养生,日常护理,95,92,92,safe,"['洗澡', '水温', '安全']"
